Floors,YearBuilt,Address,type
4,1920,13 AVENUE A,Residential
4,1920,140 1 AVENUE,Residential
4,1920,210 AVENUE B,Residential
4,1920,101 EAST 7 STREET,Residential
4,1920,79 AVENUE A,Residential
4,1920,311 EAST 6 STREET,Residential
4,1920,309 EAST 6 STREET,Residential
4,1920,543 EAST 11 STREET,Residential
4,1920,431 EAST 6 STREET,Residential
4,1920,105 2 AVENUE,Residential
4,1920,85 EAST 4 STREET,Residential
4,1920,60 ST MARKS PLACE,Residential
4,1920,50 ST MARKS PLACE,Residential
4,1920,57 ST MARKS PLACE,Residential
4,1920,81 AVENUE A,Residential
4,1920,220 EAST 12 STREET,Residential
4,1920,58 EAST 7 STREET,Residential
4,1920,227 EAST 11 STREET,Residential
4,1920,223 EAST 12 STREET,Residential
4,1920,221 EAST 12 STREET,Residential
4,1920,227 EAST 12 STREET,Residential
4,1920,64 EAST 4 STREET,Residential
4,1920,94 AVENUE A,Residential
4,1920,25 ST MARKS PLACE,Residential
4,1920,93 ST MARKS PLACE,Residential
4,1920,28 ST MARKS PLACE,Residential
4,1920,349 EAST 12 STREET,Residential
4,1920,230 EAST 9 STREET,Residential
4,1920,309 EAST 12 STREET,Residential
4,1920,50 AVENUE A,Residential
4,1920,78 ST MARKS PLACE,Residential
4,1920,182 AVENUE A,Residential
4,1920,421 EAST 6 STREET,Residential
4,1920,66 EAST 4 STREET,Residential
4,1920,150 1 AVENUE,Residential
4,1920,150 EAST 4 STREET,Residential
4,1920,112 EAST 3 STREET,Residential
4,1910,221 1 AVENUE,Commercial
4,1910,223 1 AVENUE,Commercial
4,1910,86 EAST 10 STREET,Commercial
4,1910,99 EAST 3 STREET,Residential
4,1910,71 EAST 2 STREET,Residential
4,1910,505 EAST 12 STREET,Residential
4,1910,503 EAST 12 STREET,Residential
4,1910,196 AVENUE A,Residential
4,1910,19 1 AVENUE,Residential
4,1910,194 AVENUE A,Residential
4,1910,168 AVENUE A,Residential
4,1910,95 AVENUE A,Residential
4,1910,220 EAST 13 STREET,Residential
4,1910,216 EAST 13 STREET,Residential
4,1910,303 EAST 6 STREET,Residential
4,1910,146 1 AVENUE,Residential
4,1910,214 EAST 12 STREET,Residential
4,1910,218 EAST 12 STREET,Residential
4,1910,204 AVENUE A,Residential
4,1910,202 AVENUE A,Residential
4,1910,222 EAST 12 STREET,Residential
4,1910,423 EAST 12 STREET,Residential
4,1910,78 EAST 3 STREET,Residential
4,1910,231 EAST 11 STREET,Residential
4,1910,434 EAST 11 STREET,Residential
4,1910,201 AVENUE A,Residential
4,1910,157 EAST 3 STREET,Residential
4,1905,430 EAST 13 STREET,Residential
4,1905,519 EAST 12 STREET,Residential
4,1901,60 3 AVENUE,Commercial
4,1901,62 3 AVENUE,Commercial
4,1901,125 EAST 10 STREET,Residential
4,1901,427 EAST 9 STREET,Residential
4,1901,54 2 AVENUE,Residential
4,1901,218 EAST 9 STREET,Residential
4,1901,218 EAST 13 STREET,Residential
4,1901,313 EAST 6 STREET,Residential
4,1901,310 EAST 9 STREET,Residential
4,1901,428 EAST 13 STREET,Residential
4,1900,140 EAST 13 STREET,Commercial
4,1900,349 EAST 13 STREET,Commercial
4,1900,233 1 AVENUE,Commercial
4,1900,231 1 AVENUE,Commercial
4,1900,229 1 AVENUE,Commercial
4,1900,216 AVENUE B,Commercial
4,1900,36 EAST 2 STREET,Commercial
4,1900,357 BOWERY,Commercial
4,1900,218 AVENUE B,Commercial
4,1900,325 BOWERY,Commercial
4,1900,58 3 AVENUE,Commercial
4,1900,327 BOWERY,Commercial
4,1900,63 4 AVENUE,Commercial
4,1900,222 AVENUE B,Commercial
4,1900,29 2 AVENUE,Commercial
4,1900,218 AVENUE A,Commercial
4,1900,539 EAST 13 STREET,Commercial
4,1900,531 EAST 13 STREET,Commercial
4,1900,109 EAST 12 STREET,Commercial
4,1900,113 EAST 12 STREET,Commercial
4,1900,217 2 AVENUE,Commercial
4,1900,221 2 AVENUE,Commercial
4,1900,61 COOPER SQUARE,Commercial
4,1900,113 EAST 11 STREET,Commercial
4,1900,64 3 AVENUE,Commercial
4,1900,96 3 AVENUE,Commercial
4,1900,45 2 AVENUE,Commercial
4,1900,134 EAST 13 STREET,Commercial
4,1900,66 3 AVENUE,Commercial
4,1900,345 EAST 9 STREET,Residential
4,1900,46 STUYVESANT STREET,Residential
4,1900,115 1 AVENUE,Residential
4,1900,25 AVENUE A,Residential
4,1900,123 1 AVENUE,Residential
4,1900,121 1 AVENUE,Residential
4,1900,144 1 AVENUE,Residential
4,1900,117 1 AVENUE,Residential
4,1900,119 1 AVENUE,Residential
4,1900,343 EAST 9 STREET,Residential
4,1900,39 ST MARKS PLACE,Residential
4,1900,41 ST MARKS PLACE,Residential
4,1900,17 1 AVENUE,Residential
4,1900,189 AVENUE A,Residential
4,1900,162 1 AVENUE,Residential
4,1900,325 EAST 9 STREET,Residential
4,1900,106 EAST 10 STREET,Residential
4,1900,110 EAST 10 STREET,Residential
4,1900,423 EAST 9 STREET,Residential
4,1900,425 EAST 9 STREET,Residential
4,1900,411 EAST 12 STREET,Residential
4,1900,329 EAST 9 STREET,Residential
4,1900,110 1 AVENUE,Residential
4,1900,102 1 AVENUE,Residential
4,1900,228 EAST 11 STREET,Residential
4,1900,230 EAST 11 STREET,Residential
4,1900,197 1 AVENUE,Residential
4,1900,9 AVENUE A,Residential
4,1900,155 2 AVENUE,Residential
4,1900,166 AVENUE A,Residential
4,1900,117 2 AVENUE,Residential
4,1900,502 EAST 11 STREET,Residential
4,1900,177 1 AVENUE,Residential
4,1900,15 AVENUE A,Residential
4,1900,6 EAST 2 STREET,Residential
4,1900,319 EAST 6 STREET,Residential
4,1900,147 1 AVENUE,Residential
4,1900,123 AVENUE A,Residential
4,1900,87 EAST 4 STREET,Residential
4,1900,429 EAST 12 STREET,Residential
4,1900,206 EAST 13 STREET,Residential
4,1900,121 AVENUE A,Residential
4,1900,212 EAST 11 STREET,Residential
4,1900,210 EAST 11 STREET,Residential
4,1900,209 1 AVENUE,Residential
4,1900,116 ST MARKS PLACE,Residential
4,1900,208 1 AVENUE,Residential
4,1900,528 EAST 5 STREET,Residential
4,1900,39 EAST 7 STREET,Residential
4,1900,33 EAST 7 STREET,Residential
4,1900,35 EAST 7 STREET,Residential
4,1900,526 EAST 5 STREET,Residential
4,1900,57 EAST 3 STREET,Residential
4,1900,407 EAST 6 STREET,Residential
4,1900,31 EAST 7 STREET,Residential
4,1900,75 2 AVENUE,Residential
4,1900,142 1 AVENUE,Residential
4,1900,234 EAST 5 STREET,Residential
4,1900,222 EAST 11 STREET,Residential
4,1900,186 2 AVENUE,Residential
4,1900,115 EAST 2 STREET,Residential
4,1900,238 EAST 9 STREET,Residential
4,1900,22 1 AVENUE,Residential
4,1900,232 EAST 13 STREET,Residential
4,1900,101 AVENUE A,Residential
4,1900,99 AVENUE A,Residential
4,1900,97 AVENUE A,Residential
4,1900,127 EAST 10 STREET,Residential
4,1900,268 EAST 10 STREET,Residential
4,1900,226 EAST 10 STREET,Residential
4,1900,435 EAST 9 STREET,Residential
4,1900,429 EAST 9 STREET,Residential
4,1900,439 EAST 9 STREET,Residential
4,1900,264 EAST 10 STREET,Residential
4,1900,208 EAST 10 STREET,Residential
4,1900,419 EAST 9 STREET,Residential
4,1900,319 EAST 9 STREET,Residential
4,1900,67 EAST 7 STREET,Residential
4,1900,74 EAST 4 STREET,Residential
4,1900,49 EAST 7 STREET,Residential
4,1900,77 ST MARKS PLACE,Residential
4,1900,73 ST MARKS PLACE,Residential
4,1900,49 ST MARKS PLACE,Residential
4,1900,59 ST MARKS PLACE,Residential
4,1900,53 ST MARKS PLACE,Residential
4,1900,69 ST MARKS PLACE,Residential
4,1900,71 ST MARKS PLACE,Residential
4,1900,61 ST MARKS PLACE,Residential
4,1900,432 EAST 9 STREET,Residential
4,1900,319 EAST 10 STREET,Residential
4,1900,301 EAST 10 STREET,Residential
4,1900,320 EAST 11 STREET,Residential
4,1900,317 EAST 10 STREET,Residential
4,1900,311 EAST 10 STREET,Residential
4,1900,414 EAST 11 STREET,Residential
4,1900,75 ST MARKS PLACE,Residential
4,1900,74 2 AVENUE,Residential
4,1900,100 2 AVENUE,Residential
4,1900,96 2 AVENUE,Residential
4,1900,93 2 AVENUE,Residential
4,1900,119 AVENUE A,Residential
4,1900,117 AVENUE A,Residential
4,1900,65 EAST 7 STREET,Residential
4,1900,83 EAST 7 STREET,Residential
4,1900,48 ST MARKS PLACE,Residential
4,1900,81 EAST 7 STREET,Residential
4,1900,71 EAST 7 STREET,Residential
4,1900,79 EAST 7 STREET,Residential
4,1900,68 ST MARKS PLACE,Residential
4,1900,115 AVENUE A,Residential
4,1900,5 AVENUE A,Residential
4,1900,45 ST MARKS PLACE,Residential
4,1900,425 EAST 12 STREET,Residential
4,1900,225 EAST 11 STREET,Residential
4,1900,199 AVENUE A,Residential
4,1900,207 AVENUE A,Residential
4,1900,509 EAST 12 STREET,Residential
4,1900,448 EAST 13 STREET,Residential
4,1900,299 EAST 10 STREET,Residential
4,1900,295 EAST 10 STREET,Residential
4,1900,113 EAST 2 STREET,Residential
4,1900,111 EAST 2 STREET,Residential
4,1900,191 AVENUE A,Residential
4,1900,132 EAST 7 STREET,Residential
4,1900,305 EAST 10 STREET,Residential
4,1900,309 EAST 10 STREET,Residential
4,1900,307 EAST 10 STREET,Residential
4,1900,31 ST MARKS PLACE,Residential
4,1900,29 ST MARKS PLACE,Residential
4,1900,153 AVENUE A,Residential
4,1900,18 ST MARKS PLACE,Residential
4,1900,17 AVENUE A,Residential
4,1900,214 EAST 9 STREET,Residential
4,1900,223 EAST 11 STREET,Residential
4,1900,173 EAST 3 STREET,Residential
4,1900,9 ST MARKS PLACE,Residential
4,1900,224 EAST 5 STREET,Residential
4,1900,51 EAST 3 STREET,Residential
4,1900,192 2 AVENUE,Residential
4,1900,155 AVENUE A,Residential
4,2002,56 EAST 1 STREET,Residential
4,1999,503 EAST 13 STREET,Commercial
4,1999,549 EAST 11 STREET,Residential
4,1999,511 EAST 11 STREET,Residential
4,1965,342 EAST 14 STREET,Commercial
4,1960,32 AVENUE A,Residential
4,1950,160 EAST 2 STREET,Residential
4,1940,38 2 AVENUE,Commercial
4,1940,87 ST MARKS PLACE,Residential
4,1930,324 EAST 14 STREET,Commercial
4,1930,170 EAST 3 STREET,Residential
4,1929,204 AVENUE B,Residential
4,1929,514 EAST 11 STREET,Residential
4,1929,232 EAST 5 STREET,Residential
4,1926,26 AVENUE A,Residential
4,1926,220 EAST 9 STREET,Residential
4,1925,71 COOPER SQUARE,Commercial
4,1925,297 EAST 10 STREET,Residential
4,1925,225 EAST 12 STREET,Residential
4,1920,319 BOWERY,Commercial
4,1920,225 1 AVENUE,Commercial
4,1920,121 4 AVENUE,Commercial
4,1920,320 EAST 14 STREET,Commercial
4,1920,322 EAST 14 STREET,Commercial
4,1920,220 AVENUE B,Commercial
4,1920,98 3 AVENUE,Commercial
4,1920,414 EAST 14 STREET,Commercial
4,1920,214 AVENUE A,Commercial
4,1920,313 BOWERY,Commercial
4,1920,406 EAST 14 STREET,Commercial
4,1920,116 1 AVENUE,Residential
4,1920,23 AVENUE A,Residential
4,1920,201 1 AVENUE,Residential
4,1920,203 1 AVENUE,Residential
4,1920,205 1 AVENUE,Residential
4,1920,199 1 AVENUE,Residential
4,1920,67 2 AVENUE,Residential
4,1920,13 AVENUE A,Residential
4,1920,140 1 AVENUE,Residential
4,1920,210 AVENUE B,Residential
4,1920,101 EAST 7 STREET,Residential
4,1920,79 AVENUE A,Residential
4,1920,311 EAST 6 STREET,Residential
4,1920,309 EAST 6 STREET,Residential
4,1920,543 EAST 11 STREET,Residential
4,1920,431 EAST 6 STREET,Residential
4,1920,105 2 AVENUE,Residential
4,1920,85 EAST 4 STREET,Residential
4,1920,60 ST MARKS PLACE,Residential
4,1920,50 ST MARKS PLACE,Residential
4,1920,57 ST MARKS PLACE,Residential
4,1920,81 AVENUE A,Residential
4,1920,220 EAST 12 STREET,Residential
4,1920,58 EAST 7 STREET,Residential
4,1920,227 EAST 11 STREET,Residential
4,1920,223 EAST 12 STREET,Residential
4,1920,221 EAST 12 STREET,Residential
4,1920,227 EAST 12 STREET,Residential
4,1920,64 EAST 4 STREET,Residential
4,1920,94 AVENUE A,Residential
4,1920,25 ST MARKS PLACE,Residential
4,1920,93 ST MARKS PLACE,Residential
4,1920,28 ST MARKS PLACE,Residential
4,1920,349 EAST 12 STREET,Residential
4,1920,230 EAST 9 STREET,Residential
4,1920,309 EAST 12 STREET,Residential
4,1920,50 AVENUE A,Residential
4,1920,78 ST MARKS PLACE,Residential
4,1920,182 AVENUE A,Residential
4,1920,421 EAST 6 STREET,Residential
4,1920,66 EAST 4 STREET,Residential
4,1920,150 1 AVENUE,Residential
4,1920,150 EAST 4 STREET,Residential
4,1920,112 EAST 3 STREET,Residential
4,1910,221 1 AVENUE,Commercial
4,1910,223 1 AVENUE,Commercial
4,1910,86 EAST 10 STREET,Commercial
4,1910,99 EAST 3 STREET,Residential
4,1910,71 EAST 2 STREET,Residential
4,1910,505 EAST 12 STREET,Residential
4,1910,503 EAST 12 STREET,Residential
4,1910,196 AVENUE A,Residential
4,1910,19 1 AVENUE,Residential
4,1910,194 AVENUE A,Residential
4,1910,168 AVENUE A,Residential
4,1910,95 AVENUE A,Residential
4,1910,220 EAST 13 STREET,Residential
4,1910,216 EAST 13 STREET,Residential
4,1910,303 EAST 6 STREET,Residential
4,1910,146 1 AVENUE,Residential
4,1910,214 EAST 12 STREET,Residential
4,1910,218 EAST 12 STREET,Residential
4,1910,204 AVENUE A,Residential
4,1910,202 AVENUE A,Residential
4,1910,222 EAST 12 STREET,Residential
4,1910,423 EAST 12 STREET,Residential
4,1910,78 EAST 3 STREET,Residential
4,1910,231 EAST 11 STREET,Residential
4,1910,434 EAST 11 STREET,Residential
4,1910,201 AVENUE A,Residential
4,1910,157 EAST 3 STREET,Residential
4,1905,430 EAST 13 STREET,Residential
4,1905,519 EAST 12 STREET,Residential
4,1901,60 3 AVENUE,Commercial
4,1901,62 3 AVENUE,Commercial
4,1901,125 EAST 10 STREET,Residential
4,1901,427 EAST 9 STREET,Residential
4,1901,54 2 AVENUE,Residential
4,1901,218 EAST 9 STREET,Residential
4,1901,218 EAST 13 STREET,Residential
4,1901,313 EAST 6 STREET,Residential
4,1901,310 EAST 9 STREET,Residential
4,1901,428 EAST 13 STREET,Residential
4,1900,140 EAST 13 STREET,Commercial
4,1900,349 EAST 13 STREET,Commercial
4,1900,233 1 AVENUE,Commercial
4,1900,231 1 AVENUE,Commercial
4,1900,229 1 AVENUE,Commercial
4,1900,216 AVENUE B,Commercial
4,1900,36 EAST 2 STREET,Commercial
4,1900,357 BOWERY,Commercial
4,1900,218 AVENUE B,Commercial
4,1900,325 BOWERY,Commercial
4,1900,58 3 AVENUE,Commercial
4,1900,327 BOWERY,Commercial
4,1900,63 4 AVENUE,Commercial
4,1900,222 AVENUE B,Commercial
4,1900,29 2 AVENUE,Commercial
4,1900,218 AVENUE A,Commercial
4,1900,539 EAST 13 STREET,Commercial
4,1900,531 EAST 13 STREET,Commercial
4,1900,109 EAST 12 STREET,Commercial
4,1900,113 EAST 12 STREET,Commercial
4,1900,217 2 AVENUE,Commercial
4,1900,221 2 AVENUE,Commercial
4,1900,61 COOPER SQUARE,Commercial
4,1900,113 EAST 11 STREET,Commercial
4,1900,64 3 AVENUE,Commercial
4,1900,96 3 AVENUE,Commercial
4,1900,45 2 AVENUE,Commercial
4,1900,134 EAST 13 STREET,Commercial
4,1900,66 3 AVENUE,Commercial
4,1900,345 EAST 9 STREET,Residential
4,1900,46 STUYVESANT STREET,Residential
4,1900,115 1 AVENUE,Residential
4,1900,25 AVENUE A,Residential
4,1900,123 1 AVENUE,Residential
4,1900,121 1 AVENUE,Residential
4,1900,144 1 AVENUE,Residential
4,1900,117 1 AVENUE,Residential
4,1900,119 1 AVENUE,Residential
4,1900,343 EAST 9 STREET,Residential
4,1900,39 ST MARKS PLACE,Residential
4,1900,41 ST MARKS PLACE,Residential
4,1900,17 1 AVENUE,Residential
4,1900,189 AVENUE A,Residential
4,1900,162 1 AVENUE,Residential
4,1900,325 EAST 9 STREET,Residential
4,1900,106 EAST 10 STREET,Residential
4,1900,110 EAST 10 STREET,Residential
4,1900,423 EAST 9 STREET,Residential
4,1900,425 EAST 9 STREET,Residential
4,1900,411 EAST 12 STREET,Residential
4,1900,329 EAST 9 STREET,Residential
4,1900,110 1 AVENUE,Residential
4,1900,102 1 AVENUE,Residential
4,1900,228 EAST 11 STREET,Residential
4,1900,230 EAST 11 STREET,Residential
4,1900,197 1 AVENUE,Residential
4,1900,9 AVENUE A,Residential
4,1900,155 2 AVENUE,Residential
4,1900,166 AVENUE A,Residential
4,1900,117 2 AVENUE,Residential
4,1900,502 EAST 11 STREET,Residential
4,1900,177 1 AVENUE,Residential
4,1900,15 AVENUE A,Residential
4,1900,6 EAST 2 STREET,Residential
4,1900,319 EAST 6 STREET,Residential
4,1900,147 1 AVENUE,Residential
4,1900,123 AVENUE A,Residential
4,1900,87 EAST 4 STREET,Residential
4,1900,429 EAST 12 STREET,Residential
4,1900,206 EAST 13 STREET,Residential
4,1900,121 AVENUE A,Residential
4,1900,212 EAST 11 STREET,Residential
4,1900,210 EAST 11 STREET,Residential
4,1900,209 1 AVENUE,Residential
4,1900,116 ST MARKS PLACE,Residential
4,1900,208 1 AVENUE,Residential
4,1900,528 EAST 5 STREET,Residential
4,1900,39 EAST 7 STREET,Residential
4,1900,33 EAST 7 STREET,Residential
4,1900,35 EAST 7 STREET,Residential
4,1900,526 EAST 5 STREET,Residential
4,1900,57 EAST 3 STREET,Residential
4,1900,407 EAST 6 STREET,Residential
4,1900,31 EAST 7 STREET,Residential
4,1900,75 2 AVENUE,Residential
4,1900,142 1 AVENUE,Residential
4,1900,234 EAST 5 STREET,Residential
4,1900,222 EAST 11 STREET,Residential
4,1900,186 2 AVENUE,Residential
4,1900,115 EAST 2 STREET,Residential
4,1900,238 EAST 9 STREET,Residential
4,1900,22 1 AVENUE,Residential
4,1900,232 EAST 13 STREET,Residential
4,1900,101 AVENUE A,Residential
4,1900,99 AVENUE A,Residential
4,1900,97 AVENUE A,Residential
4,1900,127 EAST 10 STREET,Residential
4,1900,268 EAST 10 STREET,Residential
4,1900,226 EAST 10 STREET,Residential
4,1900,435 EAST 9 STREET,Residential
4,1900,429 EAST 9 STREET,Residential
4,1900,439 EAST 9 STREET,Residential
4,1900,264 EAST 10 STREET,Residential
4,1900,208 EAST 10 STREET,Residential
4,1900,419 EAST 9 STREET,Residential
4,1900,319 EAST 9 STREET,Residential
4,1900,67 EAST 7 STREET,Residential
4,1900,74 EAST 4 STREET,Residential
4,1900,49 EAST 7 STREET,Residential
4,1900,77 ST MARKS PLACE,Residential
4,1900,73 ST MARKS PLACE,Residential
4,1900,49 ST MARKS PLACE,Residential
4,1900,59 ST MARKS PLACE,Residential
4,1900,53 ST MARKS PLACE,Residential
4,1900,69 ST MARKS PLACE,Residential
4,1900,71 ST MARKS PLACE,Residential
4,1900,61 ST MARKS PLACE,Residential
4,1900,432 EAST 9 STREET,Residential
4,1900,319 EAST 10 STREET,Residential
4,1900,301 EAST 10 STREET,Residential
4,1900,320 EAST 11 STREET,Residential
4,1900,317 EAST 10 STREET,Residential
4,1900,311 EAST 10 STREET,Residential
4,1900,414 EAST 11 STREET,Residential
4,1900,75 ST MARKS PLACE,Residential
4,1900,74 2 AVENUE,Residential
4,1900,100 2 AVENUE,Residential
4,1900,96 2 AVENUE,Residential
4,1900,93 2 AVENUE,Residential
4,1900,119 AVENUE A,Residential
4,1900,117 AVENUE A,Residential
4,1900,65 EAST 7 STREET,Residential
4,1900,83 EAST 7 STREET,Residential
4,1900,48 ST MARKS PLACE,Residential
4,1900,81 EAST 7 STREET,Residential
4,1900,71 EAST 7 STREET,Residential
4,1900,79 EAST 7 STREET,Residential
4,1900,68 ST MARKS PLACE,Residential
4,1900,115 AVENUE A,Residential
4,1900,5 AVENUE A,Residential
4,1900,45 ST MARKS PLACE,Residential
4,1900,425 EAST 12 STREET,Residential
4,1900,225 EAST 11 STREET,Residential
4,1900,199 AVENUE A,Residential
4,1900,207 AVENUE A,Residential
4,1900,509 EAST 12 STREET,Residential
4,1900,448 EAST 13 STREET,Residential
4,1900,299 EAST 10 STREET,Residential
4,1900,295 EAST 10 STREET,Residential
4,1900,113 EAST 2 STREET,Residential
4,1900,111 EAST 2 STREET,Residential
4,1900,191 AVENUE A,Residential
4,1900,132 EAST 7 STREET,Residential
4,1900,305 EAST 10 STREET,Residential
4,1900,309 EAST 10 STREET,Residential
4,1900,307 EAST 10 STREET,Residential
4,1900,31 ST MARKS PLACE,Residential
4,1900,29 ST MARKS PLACE,Residential
4,1900,153 AVENUE A,Residential
4,1900,18 ST MARKS PLACE,Residential
4,1900,17 AVENUE A,Residential
4,1900,214 EAST 9 STREET,Residential
4,1900,223 EAST 11 STREET,Residential
4,1900,173 EAST 3 STREET,Residential
4,1900,9 ST MARKS PLACE,Residential
4,1900,224 EAST 5 STREET,Residential
4,1900,51 EAST 3 STREET,Residential
4,1900,192 2 AVENUE,Residential
4,1900,155 AVENUE A,Residential
4,2002,56 EAST 1 STREET,Residential
4,1999,503 EAST 13 STREET,Commercial
4,1999,549 EAST 11 STREET,Residential
4,1999,511 EAST 11 STREET,Residential
4,1965,342 EAST 14 STREET,Commercial
4,1960,32 AVENUE A,Residential
4,1950,160 EAST 2 STREET,Residential
4,1940,38 2 AVENUE,Commercial
4,1940,87 ST MARKS PLACE,Residential
4,1930,324 EAST 14 STREET,Commercial
4,1930,170 EAST 3 STREET,Residential
4,1929,204 AVENUE B,Residential
4,1929,514 EAST 11 STREET,Residential
4,1929,232 EAST 5 STREET,Residential
4,1926,26 AVENUE A,Residential
4,1926,220 EAST 9 STREET,Residential
4,1925,71 COOPER SQUARE,Commercial
4,1925,297 EAST 10 STREET,Residential
4,1925,225 EAST 12 STREET,Residential
4,1920,319 BOWERY,Commercial
4,1920,225 1 AVENUE,Commercial
4,1920,121 4 AVENUE,Commercial
4,1920,320 EAST 14 STREET,Commercial
4,1920,322 EAST 14 STREET,Commercial
4,1920,220 AVENUE B,Commercial
4,1920,98 3 AVENUE,Commercial
4,1920,414 EAST 14 STREET,Commercial
4,1920,214 AVENUE A,Commercial
4,1920,313 BOWERY,Commercial
4,1920,406 EAST 14 STREET,Commercial
4,1920,116 1 AVENUE,Residential
4,1920,23 AVENUE A,Residential
4,1920,201 1 AVENUE,Residential
4,1920,203 1 AVENUE,Residential
4,1920,205 1 AVENUE,Residential
4,1920,199 1 AVENUE,Residential
4,1920,67 2 AVENUE,Residential
4,1920,13 AVENUE A,Residential
